Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
394.174757	7.009541	5.265289	0.394175	1.331274	
395.145631	7.032712	5.286921	0.395146	1.330209	
396.116505	7.067467	5.265289	0.396117	1.342275	
397.087379	7.102223	5.265289	0.397087	1.348876	
398.058252	7.148564	5.243656	0.398058	1.363279	
399.029126	7.206490	5.200392	0.399029	1.385759	
400.000000	7.206490	5.189576	0.400000	1.388647	
400.970874	7.276002	5.189576	0.400971	1.402042	
401.941748	7.287587	5.189576	0.401942	1.404274	
402.912621	7.333928	5.211208	0.402913	1.407337	
403.883495	7.310758	5.222024	0.403883	1.399985	
404.854369	7.333928	5.265289	0.404854	1.392882	
405.825243	7.333928	5.243656	0.405825	1.398629	
406.796117	7.357099	5.276105	0.406796	1.394419	
407.766990	7.368684	5.297737	0.407767	1.390912	
408.737864	7.368684	5.308553	0.408738	1.388078	
409.708738	7.368684	5.308553	0.409709	1.388078	
410.679612	7.415025	5.308553	0.410680	1.396807	
411.650485	7.415025	5.276105	0.411650	1.405398	
412.621359	7.472951	5.286921	0.412621	1.413479	
413.592233	7.519292	5.222024	0.413592	1.439919	
414.563107	7.542463	5.222024	0.414563	1.444356	
415.533981	7.588804	5.200392	0.415534	1.459275	
416.504854	7.623560	5.222024	0.416505	1.459886	
417.475728	7.658315	5.211208	0.417476	1.469585	
418.446602	7.658315	5.211208	0.418447	1.469585	
419.417476	7.658315	5.254473	0.419417	1.457485	
420.388350	7.658315	5.276105	0.420388	1.451509	
421.359223	7.693071	5.286921	0.421359	1.455114	
422.330097	7.658315	5.308553	0.422330	1.442637	
423.300971	7.704656	5.341002	0.423301	1.442549	
424.271845	7.727827	5.297737	0.424272	1.458703	
425.242718	7.750997	5.341002	0.425243	1.451225	
426.213592	7.762583	5.319369	0.426214	1.459305	
427.184466	7.820509	5.297737	0.427184	1.476198	
428.155340	7.866850	5.286921	0.428155	1.487983	
429.126214	7.890020	5.265289	0.429126	1.498497	
430.097087	7.947947	5.276105	0.430097	1.506404	
431.067961	7.947947	5.254473	0.431068	1.512606	
432.038835	8.005873	5.211208	0.432039	1.536280	
433.009709	7.982702	5.232840	0.433010	1.525501	
433.980583	8.005873	5.232840	0.433981	1.529929	
434.951456	8.017458	5.254473	0.434951	1.525835	
435.922330	8.029044	5.265289	0.435922	1.524901	
436.893204	8.029044	5.276105	0.436893	1.521775	
437.864078	8.040629	5.330185	0.437864	1.508508	
438.834951	8.086970	5.330185	0.438835	1.517202	
439.805825	8.110140	5.341002	0.439806	1.518468	
440.776699	8.144896	5.362634	0.440777	1.518824	
441.747573	8.191237	5.362634	0.441748	1.527465	
442.718447	8.202822	5.362634	0.442718	1.529626	
443.689320	8.260749	5.330185	0.443689	1.549805	
444.660194	8.283919	5.319369	0.444660	1.557312	
445.631068	8.295504	5.330185	0.445631	1.556326	
446.601942	8.341845	5.297737	0.446602	1.574605	
447.572816	8.341845	5.286921	0.447573	1.577827	
448.543689	8.353431	5.254473	0.448544	1.589775	
449.514563	8.365016	5.265289	0.449515	1.588710	
450.485437	8.341845	5.276105	0.450485	1.581061	
451.456311	8.353431	5.286921	0.451456	1.580018	
452.427184	8.353431	5.308553	0.452427	1.573580	
453.398058	8.376601	5.308553	0.453398	1.577944	
454.368932	8.388186	5.319369	0.454369	1.576914	
455.339806	8.399772	5.330185	0.455340	1.575887	
456.310680	8.446113	5.351818	0.456311	1.578176	
457.281553	8.469283	5.373450	0.457282	1.576135	
458.252427	8.504039	5.373450	0.458252	1.582603	
459.223301	8.538795	5.362634	0.459223	1.592276	
460.194175	8.561965	5.362634	0.460194	1.596597	
461.165049	8.573550	5.362634	0.461165	1.598757	
462.135922	8.596721	5.351818	0.462136	1.606318	
463.106796	8.631477	5.330185	0.463107	1.619358	
464.077670	8.643062	5.341002	0.464078	1.618247	
465.048544	8.654647	5.297737	0.465049	1.633650	
466.019417	8.677818	5.297737	0.466019	1.638023	
466.990291	8.666233	5.308553	0.466990	1.632504	
467.961165	8.689403	5.308553	0.467961	1.636868	
468.932039	8.724159	5.297737	0.468932	1.646771	
469.902913	8.735744	5.330185	0.469903	1.638919	
470.873786	8.782085	5.341002	0.470874	1.644277	
471.844660	8.793670	5.373450	0.471845	1.636504	
472.815534	8.840011	5.362634	0.472816	1.648446	
