Déplacement en Z corrigé (µm)	Effort normal (mN)
34,78635	0,016008
34,844582	0,005192
34,906381	0,016008
34,971479	-0,027257
35,029711	0,005192
35,098108	0,016008
35,153309	-0,005624
35,21154	-0,027257
35,269772	-0,016441
35,324705	-0,038073
35,379906	-0,027257
35,434839	-0,005624
35,486204	-0,005624
35,53427	-0,016441
35,579037	0,005192
35,613907	0,005192
35,665272	0,016008
35,70977	0,016008
35,761135	0,016008
35,805903	0,016008
35,843803	0,016008
35,895168	0,016008
35,933069	0,005192
35,984434	-0,005624
36,035798	-0,005624
36,080297	-0,016441
36,125064	-0,027257
36,179728	-0,016441
36,228063	-0,027257
36,27283	-0,016441
36,337659	-0,027257
36,389024	-0,005624
36,437359	-0,038073
36,485694	-0,005624
36,540358	0,016008
36,585125	-0,005624
36,629892	0,005192
36,688123	0,005192
36,729592	0,005192
36,780957	0,016008
36,822156	0,005192
36,880388	0,005192
36,925155	-0,005624
36,986416	-0,005624
37,017719	-0,016441
37,05562	-0,027257
37,11715	-0,027257
37,171814	-0,027257
37,216581	-0,038073
37,271245	0,005192
37,316012	-0,038073
37,364347	-0,016441
37,419279	-0,027257
37,470644	-0,005624
37,518979	0,016008
37,580778	0,026824
37,632412	-0,005624
37,687345	0,016008
37,742277	0,016008
37,804077	0,016008
37,852143	0,016008
37,907075	0,026824
37,95844	-0,005624
38,016672	-0,005624
38,057871	-0,005624
38,109236	-0,005624
38,153735	-0,038073
38,198502	-0,027257
38,243	-0,005624
38,280901	-0,027257
38,325399	0,016008
38,360001	-0,027257
38,411097	-0,005624
38,4424	-0,016441
38,477001	0,005192
38,531665	-0,016441
38,576432	0,005192
38,617632	0,005192
38,665698	0,005192
38,710465	0,005192
38,768696	0,005192
38,823629	0,016008
38,88186	0,005192
38,936793	-0,016441
38,995025	-0,005624
39,060123	-0,005624
39,121922	-0,005624
39,176855	0,005192
39,235086	-0,005624
39,276823	-0,016441
39,344951	-0,005624
39,38642	-0,016441
39,444651	-0,016441
39,486119	-0,027257
39,534454	-0,016441
39,579221	-0,016441
39,637184	0,016008
39,671786	0,005192
39,712985	0,005192
39,754185	-0,005624
39,788517	0,016008
39,826418	0,005192
39,870648	-0,005624
39,911847	0,005192
39,953047	-0,005624
40,001113	-0,005624
40,052209	-0,027257
40,096976	-0,027257
40,138444	-0,038073
40,206841	-0,038073
40,248578	-0,027257
40,316706	-0,016441
40,378774	-0,027257
40,450739	-0,027257
40,50594	-0,027257
40,574337	-0,005624
40,636405	-0,027257
40,705071	-0,005624
40,76687	0,005192
40,82867	-0,005624
40,890469	-0,005624
40,942102	0,016008
41,000334	0,005192
41,061864	-0,016441
41,106632	-0,027257
41,154698	-0,038073
41,195897	-0,016441
41,233798	-0,038073
41,278296	-0,038073
41,322794	-0,038073
41,360695	-0,048889
41,405193	-0,038073
41,446393	-0,059705
41,497758	-0,027257
41,542525	-0,027257
41,590591	-0,005624
41,62876	0,005192
41,686992	-0,005624
41,741924	0,005192
41,793289	0,005192
41,848491	-0,005624
41,906722	0,005192
41,97182	-0,005624
42,023454	-0,005624
42,081686	-0,027257
42,143485	-0,005624
42,205015	-0,027257
42,259948	-0,038073
42,318179	-0,027257
42,366245	-0,027257
42,417879	-0,027257
42,45578	-0,016441
42,507145	-0,038073
42,548344	-0,016441
42,589544	-0,005624
42,624145	0,016008
42,665076	0,005192
42,699678	0,016008
42,730712	-0,005624
42,768343	0,005192
42,809543	0,016008
42,844144	-0,005624
42,888643	-0,016441
42,93644	0,016008
42,987805	-0,027257
43,046037	-0,027257
43,094371	-0,027257
43,155902	-0,027257
43,217701	-0,005624
43,2795	-0,038073
43,344598	-0,027257
43,409965	-0,016441
43,478362	-0,027257
43,537131	-0,016441
43,59893	0,005192
43,654132	-0,016441
43,712632	0,005192
43,770864	-0,005624
43,822497	-0,005624
43,870563	0,016008
43,921928	0,016008
43,966695	0,005192
44,011194	0,005192
44,052393	0,005192
44,093324	-0,005624
44,127926	-0,005624
44,168856	-0,016441
44,206488	-0,027257
44,251255	-0,016441
44,285588	-0,027257
44,326788	-0,016441
44,371555	-0,027257
44,419352	-0,005624
44,46082	-0,038073
44,505587	-0,016441
44,547056	-0,016441
44,605287	-0,005624
44,656921	-0,005624
44,718451	0,005192
44,770085	0,005192
44,828585	0,016008
44,890116	-0,005624
44,948347	-0,005624
45,00025	0,005192
45,075245	-0,005624
45,137044	-0,005624
45,191976	-0,016441
45,253776	-0,005624
45,30211	-0,038073
45,36694	-0,005624
45,418573	-0,027257
45,477074	-0,048889
45,535305	-0,016441
45,573206	-0,027257
45,607807	-0,016441
45,662471	0,005192
45,710806	-0,005624
45,755305	0,005192
45,789637	0,005192
45,817372	0,03764
45,858572	0,026824
45,909937	0,016008
45,951136	0,016008
45,992336	0,005192
46,036834	0,016008
46,0849	0,005192
46,143132	-0,005624
46,194497	-0,005624
46,239264	-0,005624
46,290629	-0,038073
46,349129	-0,005624
46,407361	-0,005624
46,455695	0,005192
46,520525	-0,005624
46,56886	0,005192
46,623792	-0,016441
46,675426	-0,005624
46,723492	0,026824
46,768259	0,016008
46,816325	0,016008
46,854226	0,005192
46,902023	0,016008
46,943222	0,016008
46,98799	-0,005624
47,039354	-0,016441
47,080554	-0,005624
47,125052	-0,027257
47,169819	-0,027257
47,234649	-0,027257
47,272818	-0,016441
47,334349	-0,016441
47,395879	-0,016441
47,440915	-0,027257
47,506013	-0,005624
47,557647	0,005192
47,605981	0,026824
47,664213	0,005192
47,715847	0,016008
47,770779	0,005192
47,808949	0,005192
47,86718	0,026824
47,918545	0,016008
47,966611	0,016008
48,01111	0,005192
48,055877	-0,005624
48,114108	-0,016441
48,158607	-0,016441
48,199806	-0,027257
48,241006	-0,016441
48,298968	-0,027257
48,344004	-0,005624
48,39207	-0,005624
48,429971	-0,005624
48,481336	-0,005624
48,532969	-0,005624
48,5945	0,026824
48,639267	0,016008
48,677436	0,016008
48,735668	0,016008
48,797467	-0,005624
48,848832	-0,005624
48,893599	0,016008
48,948532	0,016008
49,010062	0,016008
49,061427	0,016008
49,106194	0,005192
49,160858	0,005192
49,215791	0,005192
49,263857	0,005192
49,308624	-0,005624
49,349823	-0,027257
49,404756	-0,016441
49,462988	-0,005624
49,497589	-0,005624
49,53549	-0,005624
49,570091	0,005192
49,617889	0,016008
49,655789	0,016008
49,693421	-0,038073
49,734621	0,016008
49,762356	0,005192
49,806854	0,005192
